Benchmark finished!
|     |   batch |   q_seq_length |   kv_seq_length |   num_heads_q |   num_heads_kv |   head_dim | causal   | local   | use_sinks   |   page_size | provider   |     tflops |   bandwidth |         ms |
|  42 |       8 |            128 |            4096 |            16 |              4 |        128 | True     | False   | True        |           0 | flash_attn | 42.4383    |    93.2482  |   0.80964  |
|  43 |       8 |            128 |            4096 |            16 |              4 |        128 | True     | False   | True        |         128 | flash_attn | 40.2194    |    88.3727  |   0.854308 |
|  44 |       8 |            128 |            1024 |            16 |              8 |        128 | True     | False   | True        |           0 | flash_attn | 35.7789    |   174.702   |   0.240084 |
|  45 |       8 |            128 |            1024 |            16 |              8 |        128 | True     | False   | True        |         128 | flash_attn | 34.039     |   166.206   |   0.252356 |
|  46 |       8 |            128 |            4096 |            16 |              8 |        128 | True     | False   | True        |           0 | flash_attn | 40.4706    |   167.969   |   0.849004 |
|  47 |       8 |            128 |            4096 |            16 |              8 |        128 | True     | False   | True        |         128 | flash_attn | 37.9401    |   157.466   |   0.905632 |
|  48 |       8 |            128 |            1024 |            16 |              4 |        256 | True     | False   | True        |           0 | flash_attn | 23.1279    |    67.7575  |   0.74282  |
|  49 |       8 |            128 |            1024 |            16 |              4 |        256 | True     | False   | True        |         128 | flash_attn | 23.1522    |    67.8288  |   0.74204  |
|  50 |       8 |            128 |            4096 |            16 |              4 |        256 | True     | False   | True        |           0 | flash_attn | 24.5505    |    53.944   |   2.79911  |
|  51 |       8 |            128 |            4096 |            16 |              4 |        256 | True     | False   | True        |         128 | flash_attn | 24.7426    |    54.3661  |   2.77737  |
|  52 |       8 |            128 |            1024 |            16 |              8 |        256 | True     | False   | True        |           0 | flash_attn | 23.0762    |   112.677   |   0.744484 |
|  53 |       8 |            128 |            1024 |            16 |              8 |        256 | True     | False   | True        |         128 | flash_attn | 23.4073    |   114.293   |   0.733954 |
|  54 |       8 |            128 |            4096 |            16 |              8 |        256 | True     | False   | True        |           0 | flash_attn | 24.3636    |   101.118   |   2.82058  |
|  55 |       8 |            128 |            4096 |            16 |              8 |        256 | True     | False   | True        |         128 | flash_attn | 25.0569    |   103.996   |   2.74253  |
|  56 |       8 |            128 |            1024 |            16 |              4 |        512 | True     | False   | True        |           0 | flash_attn |  1.92917   |     5.65185 |  17.8107   |
|  57 |       8 |            128 |            1024 |            16 |              4 |        512 | True     | False   | True        |         128 | flash_attn |  1.92118   |     5.62845 |  17.8847   |
|  58 |       8 |            128 |            4096 |            16 |              4 |        512 | True     | False   | True        |           0 | flash_attn |  1.86772   |     4.10389 |  73.5863   |
|  59 |       8 |            128 |            4096 |            16 |              4 |        512 | True     | False   | True        |         128 | flash_attn |  1.86138   |     4.08995 |  73.837    |
|  60 |       8 |            128 |            1024 |            16 |              8 |        512 | True     | False   | True        |           0 | flash_attn |  1.91294   |     9.3405  |  17.9618   |
|  61 |       8 |            128 |            1024 |            16 |              8 |        512 | True     | False   | True        |         128 | flash_attn |  1.90396   |     9.29666 |  18.0465   |
|  62 |       8 |            128 |            4096 |            16 |              8 |        512 | True     | False   | True        |           0 | flash_attn |  1.85271   |     7.68947 |  74.1827   |
|  63 |       8 |            128 |            4096 |            16 |              8 |        512 | True     | False   | True        |         128 | flash_attn |  1.83576   |     7.61913 |  74.8675   |
|  64 |      16 |            128 |            1024 |            16 |              4 |         64 | True     | False   | True        |           0 | flash_attn | 32.8738    |    96.3101  |   0.2613   |
|  65 |      16 |            128 |            1024 |            16 |              4 |         64 | True     | False   | True        |         128 | flash_attn | 31.3872    |    91.9548  |   0.273676 |
|  66 |      16 |            128 |            4096 |            16 |              4 |         64 | True     | False   | True        |           0 | flash_attn | 37.5189    |    82.439   |   0.915798 |
|  67 |      16 |            128 |            4096 |            16 |              4 |         64 | True     | False   | True        |         128 | flash_attn | 35.2991    |    77.5615  |   0.973388 |
|  68 |      16 |            128 |            1024 |            16 |              8 |         64 | True     | False   | True        |           0 | flash_attn | 32.7273    |   159.801   |   0.26247  |
|  69 |      16 |            128 |            1024 |            16 |              8 |         64 | True     | False   | True        |         128 | flash_attn | 31.2241    |   152.461   |   0.275106 |
|  70 |      16 |            128 |            4096 |            16 |              8 |         64 | True     | False   | True        |           0 | flash_attn | 37.1822    |   154.32    |   0.924092 |
|  71 |      16 |            128 |            4096 |            16 |              8 |         64 | True     | False   | True        |         128 | flash_attn | 35.0454    |   145.452   |   0.980434 |
|  72 |      16 |            128 |            1024 |            16 |              4 |        128 | True     | False   | True        |           0 | flash_attn | 44.2871    |   129.747   |   0.38792  |
|  73 |      16 |            128 |            1024 |            16 |              4 |        128 | True     | False   | True        |         128 | flash_attn | 41.7096    |   122.196   |   0.411892 |
|  74 |      16 |            128 |            4096 |            16 |              4 |        128 | True     | False   | True        |           0 | flash_attn | 48.6285    |   106.85    |   1.41315  |
|  75 |      16 |            128 |            4096 |            16 |              4 |        128 | True     | False   | True        |         128 | flash_attn | 45.9982    |   101.07    |   1.49396  |
|  76 |      16 |            128 |            1024 |            16 |              8 |        128 | True     | False   | True        |           0 | flash_attn | 42.4929    |   207.485   |   0.4043   |
|  77 |      16 |            128 |            1024 |            16 |              8 |        128 | True     | False   | True        |         128 | flash_attn | 40.2758    |   196.659   |   0.426556 |
|  78 |      16 |            128 |            4096 |            16 |              8 |        128 | True     | False   | True        |           0 | flash_attn | 46.3637    |   192.428   |   1.48218  |
|  79 |      16 |            128 |            4096 |            16 |              8 |        128 | True     | False   | True        |         128 | flash_attn | 43.4363    |   180.278   |   1.58207  |
|  80 |      16 |            128 |            1024 |            16 |              4 |        256 | True     | False   | True        |           0 | flash_attn | 25.1547    |    73.6955  |   1.36594  |
|  81 |      16 |            128 |            1024 |            16 |              4 |        256 | True     | False   | True        |         128 | flash_attn | 25.1816    |    73.7741  |   1.36448  |
|  82 |      16 |            128 |            4096 |            16 |              4 |        256 | True     | False   | True        |           0 | flash_attn | 26.1694    |    57.5011  |   5.2519   |
|  83 |      16 |            128 |            4096 |            16 |              4 |        256 | True     | False   | True        |         128 | flash_attn | 26.4385    |    58.0924  |   5.19844  |
|  84 |      16 |            128 |            1024 |            16 |              8 |        256 | True     | False   | True        |           0 | flash_attn | 25.0072    |   122.105   |   1.374    |
|  85 |      16 |            128 |            1024 |            16 |              8 |        256 | True     | False   | True        |         128 | flash_attn | 25.521     |   124.614   |   1.34633  |
|  86 |      16 |            128 |            4096 |            16 |              8 |        256 | True     | False   | True        |           0 | flash_attn | 25.801     |   107.084   |   5.32688  |
